"LOCATION","Country","IND","Indicator","TIME","Time","Value","Flag Codes","Flags"
"LVA","Latvia","FOS","Field-of-study mismatch","2016","2016",34.7,,
"LTU","Lithuania","FOS","Field-of-study mismatch","2016","2016",34.9,,
"ROU","Romania","FOS","Field-of-study mismatch","2016","2016",39.2,,
"ZAF","South Africa","FOS","Field-of-study mismatch","2016","2016",32.5,,
"AUT","Austria","QM","Qualification mismatch","2016","2016",36,,
"BEL","Belgium","QM","Qualification mismatch","2016","2016",34.5,,
"CZE","Czech Republic","QM","Qualification mismatch","2016","2016",17.1,,
"DNK","Denmark","QM","Qualification mismatch","2016","2016",34,,
"FIN","Finland","QM","Qualification mismatch","2016","2016",28.2,,
"FRA","France","QM","Qualification mismatch","2016","2016",34.2,,
"DEU","Germany","QM","Qualification mismatch","2016","2016",37.2,,
"GRC","Greece","QM","Qualification mismatch","2016","2016",43.7,,
"HUN","Hungary","QM","Qualification mismatch","2016","2016",30.1,,
"ISL","Iceland","QM","Qualification mismatch","2016","2016",38.2,,
"IRL","Ireland","QM","Qualification mismatch","2016","2016",44,,
"ITA","Italy","QM","Qualification mismatch","2016","2016",38.2,,
"LUX","Luxembourg","QM","Qualification mismatch","2016","2016",30.2,,
"NLD","Netherlands","QM","Qualification mismatch","2016","2016",37.7,,
"NOR","Norway","QM","Qualification mismatch","2016","2016",35,,
"POL","Poland","QM","Qualification mismatch","2016","2016",22.8,,
"PRT","Portugal","QM","Qualification mismatch","2016","2016",42.4,,
"SVK","Slovak Republic","QM","Qualification mismatch","2016","2016",20,,
"ESP","Spain","QM","Qualification mismatch","2016","2016",41.2,,
"SWE","Sweden","QM","Qualification mismatch","2016","2016",37,,
"CHE","Switzerland","QM","Qualification mismatch","2016","2016",36,,
"GBR","United Kingdom","QM","Qualification mismatch","2016","2016",41,,
"BGR","Bulgaria","QM","Qualification mismatch","2016","2016",24.2,,
"CYP","Cyprus","QM","Qualification mismatch","2016","2016",35,,
"EST","Estonia","QM","Qualification mismatch","2016","2016",38,,
"LVA","Latvia","QM","Qualification mismatch","2016","2016",29.7,,
"LTU","Lithuania","QM","Qualification mismatch","2016","2016",34.9,,
"ROU","Romania","QM","Qualification mismatch","2016","2016",28.6,,
"SVN","Slovenia","QM","Qualification mismatch","2016","2016",24.7,,
"ZAF","South Africa","QM","Qualification mismatch","2016","2016",52.2,,
"AUS","Australia","UQ","Underqualification","2016","2016",18.5,,
"CAN","Canada","UQ","Underqualification","2016","2016",21.7,,
"MEX","Mexico","UQ","Underqualification","2016","2016",12.6,,
"NZL","New Zealand","UQ","Underqualification","2016","2016",23.5,,
"TUR","Turkey","UQ","Underqualification","2016","2016",14,,
"USA","United States","UQ","Underqualification","2016","2016",17.7,,
"ARG","Argentina","UQ","Underqualification","2016","2016",21.2,,
"BRA","Brazil","UQ","Underqualification","2016","2016",9.39,,
"CHL","Chile","UQ","Underqualification","2016","2016",16.5,,
"PER","Peru","UQ","Underqualification","2016","2016",9.3,,
"AUS","Australia","OQ","Overqualification","2016","2016",20.2,,
"CAN","Canada","OQ","Overqualification","2016","2016",16.2,,
"MEX","Mexico","OQ","Overqualification","2016","2016",37.7,,
"NZL","New Zealand","OQ","Overqualification","2016","2016",17.2,,
"TUR","Turkey","OQ","Overqualification","2016","2016",29.1,,
"USA","United States","OQ","Overqualification","2016","2016",15.6,,
"ARG","Argentina","OQ","Overqualification","2016","2016",27.2,,
"BRA","Brazil","OQ","Overqualification","2016","2016",28.2,,
"CHL","Chile","OQ","Overqualification","2016","2016",30.5,,
"PER","Peru","OQ","Overqualification","2016","2016",26.2,,
"AUS","Australia","FOS","Field-of-study mismatch","2016","2016",32.7,,
"TUR","Turkey","FOS","Field-of-study mismatch","2016","2016",36,,
"PER","Peru","FOS","Field-of-study mismatch","2016","2016",51.5,,
"AUS","Australia","QM","Qualification mismatch","2016","2016",38.7,,
"CAN","Canada","QM","Qualification mismatch","2016","2016",37.9,,
"MEX","Mexico","QM","Qualification mismatch","2016","2016",50.2,,
"NZL","New Zealand","QM","Qualification mismatch","2016","2016",40.7,,
"TUR","Turkey","QM","Qualification mismatch","2016","2016",43,,
"USA","United States","QM","Qualification mismatch","2016","2016",33.5,,
"ARG","Argentina","QM","Qualification mismatch","2016","2016",48.5,,
"BRA","Brazil","QM","Qualification mismatch","2016","2016",37.7,,
"CHL","Chile","QM","Qualification mismatch","2016","2016",47,,
"PER","Peru","QM","Qualification mismatch","2016","2016",35.5,,
"EU","European Union","UQ","Underqualification","2016","2016",18.7,,
"OECD","OECD - Total","UQ","Underqualification","2016","2016",18.9,,
"EU","European Union","OQ","Overqualification","2016","2016",14.7,,
"OECD","OECD - Total","OQ","Overqualification","2016","2016",16.8,,
"EU","European Union","FOS","Field-of-study mismatch","2016","2016",32.8,,
"OECD","OECD - Total","FOS","Field-of-study mismatch","2016","2016",32.2,,
"EU","European Union","QM","Qualification mismatch","2016","2016",33.5,,
"OECD","OECD - Total","QM","Qualification mismatch","2016","2016",35.7,,
