ref_area,indicator,source,classif1,time,obs_value,obs_status
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2010,0.1186,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2010,0.1455,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2010,0.3057,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2010,0.9052,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2010,2.0591,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2010,3.6257,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2010,5.6817,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2010,8.5919,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2010,14.4491,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2010,64.1176,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2011,0.1263,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2011,0.1608,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2011,0.333,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2011,0.9395,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2011,2.0944,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2011,3.6637,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2011,5.7164,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2011,8.6269,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2011,14.4695,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2011,63.8696,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2012,0.1355,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2012,0.1791,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2012,0.3668,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2012,0.9825,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2012,2.1402,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2012,3.7128,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2012,5.7663,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2012,8.6779,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2012,14.5054,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2012,63.5336,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2013,0.1415,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2013,0.1907,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2013,0.3865,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2013,1.0067,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2013,2.1635,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2013,3.7381,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2013,5.7842,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2013,8.6951,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2013,14.5092,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2013,63.3846,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2014,0.1478,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2014,0.2031,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2014,0.4078,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2014,1.033,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2014,2.1895,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2014,3.7663,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2014,5.8064,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2014,8.7169,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2014,14.5177,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2014,63.2116,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2015,0.1537,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2015,0.2145,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2015,0.4274,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2015,1.0571,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2015,2.2131,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2015,3.7919,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2015,5.8255,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2015,8.7356,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2015,14.5235,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2015,63.0577,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2016,0.1591,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2016,0.2249,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2016,0.4449,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2016,1.0784,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2016,2.2335,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2016,3.8141,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2016,5.8404,I
