"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,23939.3403768226,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,23572.9051441716,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,24354.6955676035,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,23928.1467101025,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,24235.9685714195,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,24114.1991862564,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,24296.6616810414,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,24627.5714523778,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,24700.5492802456,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,24777.7003219718,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,25079.9389576652,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,25370.6371012788,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25596.9282511179,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,25970.8371414463,,
"AUS","Australia","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,26388.4708242643,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,5.82963246628047,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,5.77284901098645,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,5.7157570109392,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,5.65701230671178,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,5.96857319433752,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,6.21072627297824,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,6.37523529786335,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,6.44545103827258,,
"ESP","Spain","PPP","In 2019 constant prices at 2019 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,6.72070525723016,,
