"COUNTRY","Country","SEX","Sex","SERIES","Series","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUT","Austria","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",29.8067141403866,,
"AUT","Austria","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",31.1813186813187,,
"AUT","Austria","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",32.2686322686323,,
"AUT","Austria","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",30.9665427509294,,
"AUT","Austria","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",32.5473521453421,,
"AUT","Austria","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",35.1179992955266,,
"AUT","Austria","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",34.6771550311373,,
"AUT","Austria","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",32.2125487841489,,
"AUT","Austria","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",33.8809034907598,,
"AUT","Austria","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",35.9445277361319,,
"AUT","Austria","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",35.4267869535045,,
"AUT","Austria","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",33.3755942947702,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",27.9820770336487,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",28.6986644595424,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",28.5295734127553,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",30.1862805971212,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",29.7330254232211,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",29.497020815273,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",26.6378531620314,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",27.623013222494,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",28.0113361540578,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",29.670964127319,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",29.985176242201,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",30.6076726577942,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",31.7638581810832,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",30.8337578917487,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",31.0295097483345,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",31.3394669416279,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",31.5524091108023,,
"BEL","Belgium","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",31.5017888942131,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",26.8874940671395,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",27.0129269395811,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",27.2504233517873,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",29.0814979430961,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",30.2811491898301,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",30.7978329614243,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",27.6717793676489,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",28.6940328833607,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",29.4121419038273,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",31.482658958746,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",31.5644069239149,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",31.5715047661692,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",32.3980093801202,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",31.534331662639,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",31.8664179505764,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",31.8997245714581,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",32.0387776718335,,
"BEL","Belgium","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",32.0812194984817,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",27.1891426802075,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",27.6184799965709,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",27.8658833605041,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",29.6878835206557,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",30.3475205325172,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",30.82407181673,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",27.6380530920026,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",28.7007995202326,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",29.2393668711647,,
"BEL","Belgium","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",30.9149794896057,,
