"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LCEAMN01_IXOB","Manufacturing, Index","JPN","Japan","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.7003,,
"LCEAMN01_IXOB","Manufacturing, Index","JPN","Japan","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",99.6083,,
"LCEAMN01_IXOB","Manufacturing, Index","KOR","Korea","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",113.5996,,
"LCEAMN01_IXOB","Manufacturing, Index","KOR","Korea","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",116.1951,,
"LCEAMN01_IXOB","Manufacturing, Index","KOR","Korea","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",115.5376,,
"LCEAMN01_IXOB","Manufacturing, Index","LUX","Luxembourg","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",99.31453,,
"LCEAMN01_IXOB","Manufacturing, Index","LUX","Luxembourg","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",101.2811,,
"LCEAMN01_IXOB","Manufacturing, Index","LUX","Luxembourg","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",99.29021,,
"LCEAMN01_IXOB","Manufacturing, Index","NLD","Netherlands","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.7284,,
"LCEAMN01_IXOB","Manufacturing, Index","NLD","Netherlands","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",108.6387,,
"LCEAMN01_IXOB","Manufacturing, Index","NLD","Netherlands","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",112.781,,
"LCEAMN01_IXOB","Manufacturing, Index","NZL","New Zealand","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.2981,,
"LCEAMN01_IXOB","Manufacturing, Index","NZL","New Zealand","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",110.1449,,
"LCEAMN01_IXOB","Manufacturing, Index","NZL","New Zealand","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",113.4818,,
"LCEAMN01_IXOB","Manufacturing, Index","NOR","Norway","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.5691,,
"LCEAMN01_IXOB","Manufacturing, Index","NOR","Norway","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.1422,,
"LCEAMN01_IXOB","Manufacturing, Index","NOR","Norway","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.6255,,
"LCEAMN01_IXOB","Manufacturing, Index","POL","Poland","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",119.3783,,
