"COUNTRY","Country","SEX","Sex","AGE","Age","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2017","2017","MONTH","Months","0","Units",,,8.82679297915624,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2001","2001","MONTH","Months","0","Units",,,12.4072559086627,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2002","2002","MONTH","Months","0","Units",,,12.8217623241163,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2003","2003","MONTH","Months","0","Units",,,12.9268514223132,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2004","2004","MONTH","Months","0","Units",,,12.7471044293157,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2005","2005","MONTH","Months","0","Units",,,10.9994430033936,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2006","2006","MONTH","Months","0","Units",,,10.4619143570697,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2007","2007","MONTH","Months","0","Units",,,9.05363588839373,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2008","2008","MONTH","Months","0","Units",,,9.00444045106905,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2009","2009","MONTH","Months","0","Units",,,8.11847446823261,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2010","2010","MONTH","Months","0","Units",,,9.19510850003668,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2011","2011","MONTH","Months","0","Units",,,9.65444846734757,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2012","2012","MONTH","Months","0","Units",,,9.24435251088566,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2013","2013","MONTH","Months","0","Units",,,8.85533839586172,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2014","2014","MONTH","Months","0","Units",,,10.098152614629,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2015","2015","MONTH","Months","0","Units",,,10.9588008629078,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2016","2016","MONTH","Months","0","Units",,,10.8259957237647,,
"AUS","Australia","MW","All persons","2554","25 to 54","A","Annual","2017","2017","MONTH","Months","0","Units",,,12.2243628627174,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2001","2001","MONTH","Months","0","Units",,,23.5273725151197,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2002","2002","MONTH","Months","0","Units",,,26.8317249468288,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2003","2003","MONTH","Months","0","Units",,,23.9313451813471,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2004","2004","MONTH","Months","0","Units",,,24.7456339555102,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2005","2005","MONTH","Months","0","Units",,,20.4512865270939,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2006","2006","MONTH","Months","0","Units",,,18.6659129394788,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2007","2007","MONTH","Months","0","Units",,,17.1672241824802,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2008","2008","MONTH","Months","0","Units",,,15.0480826022723,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2009","2009","MONTH","Months","0","Units",,,16.3440066025778,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2010","2010","MONTH","Months","0","Units",,,15.3159489755247,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2011","2011","MONTH","Months","0","Units",,,15.5310285211605,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2012","2012","MONTH","Months","0","Units",,,16.7021798098389,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2013","2013","MONTH","Months","0","Units",,,15.3312195640756,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2014","2014","MONTH","Months","0","Units",,,15.7195474439659,,
"AUS","Australia","MW","All persons","5599","55+","A","Annual","2015","2015","MONTH","Months","0","Units",,,16.9460278296839,,
